early_access,genres_encoded,metascore,año,price
False,6,84,2013,0.0
False,6,84,2013,0.0
False,6,84,2013,0.0
False,6,84,2013,0.0
False,6,84,2013,0.0
False,1,34,2011,9.99
False,1,34,2011,9.99
False,1,80,2011,9.99
False,1,80,2011,9.99
False,1,80,2011,9.99
False,1,80,2011,9.99
False,1,80,2011,9.99
False,1,80,2011,9.99
False,5,80,2011,9.99
False,5,80,2011,9.99
False,5,80,2011,9.99
False,5,80,2011,9.99
False,5,80,2011,9.99
False,5,80,2011,9.99
False,10,80,2011,9.99
False,10,80,2011,9.99
False,10,80,2011,9.99
False,10,80,2011,9.99
False,10,80,2011,9.99
False,10,80,2011,9.99
False,10,66,2010,14.99
